record_date,maxtemp,mintemp,pcpn,snow
01-Jan-2010,41,12,0.00,0.0
02-Jan-2010,45,12,0.00,0.0
03-Jan-2010,52,15,0.04,0.5
04-Jan-2010,44,15,0.00,0.0
05-Jan-2010,46,17,0.00,0.0
06-Jan-2010,47,17,0.00,0.0
07-Jan-2010,39,4,0.00,0.0
08-Jan-2010,25,-5,0.00,0.0
09-Jan-2010,36,-4,0.00,0.0
10-Jan-2010,46,4,0.00,0.0
11-Jan-2010,54,10,0.00,0.0
12-Jan-2010,55,10,0.00,0.0
13-Jan-2010,58,11,0.00,0.0
14-Jan-2010,60,19,0.00,0.0
15-Jan-2010,47,15,0.00,0.0
16-Jan-2010,52,12,0.00,0.0
17-Jan-2010,57,12,0.00,0.0
18-Jan-2010,60,14,0.00,0.0
19-Jan-2010,56,14,0.00,0.0
20-Jan-2010,51,18,0.00,0.0
21-Jan-2010,43,13,0.00,0.0
22-Jan-2010,52,14,0.00,0.0
23-Jan-2010,63,20,0.00,0.0
24-Jan-2010,55,14,0.00,0.0
25-Jan-2010,46,10,0.00,0.0
26-Jan-2010,44,10,0.00,0.0
27-Jan-2010,41,13,0.00,0.0
28-Jan-2010,50,15,0.00,0.0
29-Jan-2010,28,18,0.48,5.0
30-Jan-2010,31,4,0.00,0.0
31-Jan-2010,39,6,0.00,0.0
01-Feb-2010,37,11,0.00,0.0
02-Feb-2010,51,15,0.00,0.0
03-Feb-2010,47,15,0.00,0.0
04-Feb-2010,45,20,0.45,0.0
05-Feb-2010,41,21,0.00,0.0
06-Feb-2010,46,21,0.00,0.0
07-Feb-2010,36,24,0.00,0.0
08-Feb-2010,31,22,0.20,5.0
09-Feb-2010,23,7,0.03,0.5
10-Feb-2010,26,6,0.00,0.0
11-Feb-2010,33,11,0.00,0.0
12-Feb-2010,43,15,0.00,0.0
13-Feb-2010,51,22,0.00,0.0
14-Feb-2010,56,23,0.00,0.0
15-Feb-2010,34,12,0.00,0.0
16-Feb-2010,44,13,0.00,0.0
17-Feb-2010,44,13,0.00,0.0
18-Feb-2010,52,17,0.00,0.0
19-Feb-2010,52,22,0.00,0.0
20-Feb-2010,42,27,0.00,0.0
21-Feb-2010,29,24,0.02,0.1
22-Feb-2010,28,17,0.04,0.9
23-Feb-2010,28,13,0.00,0.0
24-Feb-2010,45,14,0.00,0.0
25-Feb-2010,57,18,0.00,0.0
26-Feb-2010,49,23,0.00,0.0
27-Feb-2010,55,18,0.00,0.0
28-Feb-2010,55,20,0.00,0.0
01-Mar-2010,42,25,0.57,T
02-Mar-2010,37,20,0.00,0.0
03-Mar-2010,59,22,0.00,0.0
04-Mar-2010,62,27,0.00,0.0
05-Mar-2010,57,24,0.00,0.0
06-Mar-2010,59,22,0.00,0.0
07-Mar-2010,60,26,0.00,0.0
08-Mar-2010,53,31,0.78,0.0
09-Mar-2010,50,39,0.08,0.0
10-Mar-2010,60,28,0.00,0.0
11-Mar-2010,53,28,0.00,0.0
12-Mar-2010,50,23,0.00,0.0
13-Mar-2010,60,21,0.00,0.0
14-Mar-2010,64,25,0.00,0.0
15-Mar-2010,44,31,0.00,0.0
16-Mar-2010,54,23,0.00,0.0
17-Mar-2010,68,23,0.00,0.0
18-Mar-2010,68,27,0.00,0.0
19-Mar-2010,72,28,0.00,0.0
20-Mar-2010,33,18,0.12,T
21-Mar-2010,45,18,0.00,0.0
22-Mar-2010,65,20,0.00,0.0
23-Mar-2010,70,23,0.00,0.0
24-Mar-2010,55,29,0.73,4.0
25-Mar-2010,36,17,0.10,0.9
26-Mar-2010,46,17,0.00,0.0
27-Mar-2010,58,27,0.00,0.0
28-Mar-2010,50,28,0.00,0.0
29-Mar-2010,66,25,0.00,0.0
30-Mar-2010,77,25,0.00,0.0
31-Mar-2010,85,43,0.00,0.0
01-Apr-2010,73,39,0.00,0.0
02-Apr-2010,64,26,0.00,0.0
03-Apr-2010,58,21,0.00,0.0
04-Apr-2010,70,23,0.00,0.0
05-Apr-2010,74,23,0.00,0.0
06-Apr-2010,82,35,0.00,0.0
07-Apr-2010,62,33,0.00,0.0
08-Apr-2010,56,20,0.00,0.0
09-Apr-2010,63,22,0.00,0.0
10-Apr-2010,73,30,0.00,0.0
11-Apr-2010,65,34,0.00,0.0
12-Apr-2010,75,35,0.00,0.0
13-Apr-2010,82,42,0.00,0.0
14-Apr-2010,79,42,0.01,0.0
15-Apr-2010,69,39,0.00,0.0
16-Apr-2010,76,39,0.24,0.0
17-Apr-2010,51,42,0.15,0.0
18-Apr-2010,57,35,0.00,0.0
19-Apr-2010,69,36,0.00,0.0
20-Apr-2010,73,44,0.00,0.0
21-Apr-2010,68,46,0.00,0.0
22-Apr-2010,66,50,0.34,0.0
23-Apr-2010,72,45,0.03,0.0
24-Apr-2010,57,42,0.13,0.0
25-Apr-2010,60,31,0.00,0.0
26-Apr-2010,74,35,0.22,0.0
27-Apr-2010,60,33,0.00,0.0
28-Apr-2010,71,36,0.00,0.0
29-Apr-2010,87,44,0.00,0.0
30-Apr-2010,87,33,0.00,0.0
01-May-2010,62,30,0.00,0.0
02-May-2010,65,33,0.00,0.0
03-May-2010,65,34,0.00,0.0
04-May-2010,73,37,0.00,0.0
05-May-2010,85,35,0.00,0.0
06-May-2010,69,39,0.00,0.0
07-May-2010,86,39,0.00,0.0
08-May-2010,60,38,0.00,0.0
09-May-2010,67,41,0.00,0.0
10-May-2010,85,45,0.00,0.0
11-May-2010,77,40,0.00,0.0
12-May-2010,70,44,0.00,0.0
13-May-2010,58,28,0.00,0.0
14-May-2010,59,28,0.00,0.0
15-May-2010,56,42,0.46,0.0
16-May-2010,65,43,0.00,0.0
17-May-2010,73,46,0.00,0.0
18-May-2010,76,49,0.00,0.0
19-May-2010,73,47,0.75,0.0
20-May-2010,68,45,0.00,0.0
21-May-2010,70,48,0.00,0.0
22-May-2010,87,50,0.00,0.0
23-May-2010,94,46,0.00,0.0
24-May-2010,88,51,0.00,0.0
25-May-2010,81,38,0.00,0.0
26-May-2010,73,51,0.00,0.0
27-May-2010,80,57,0.00,0.0
28-May-2010,94,62,0.00,0.0
29-May-2010,94,59,0.00,0.0
30-May-2010,95,54,0.00,0.0
31-May-2010,73,50,0.00,0.0
